192.65.185.195,46.2022,6.1457
192.65.185.40,47.2594,8.3763
192.65.185.140,47.3372,8.4753
2001:07f8:001c:024a:0000:0000:3cbb:0001,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:316e:0001,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:7226:0001,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:51c4:0001,47.3667,8.5500
192.65.185.3,47.2594,8.3763
2001:07f8:001c:024a:0000:0000:0201:0001,47.3667,8.5500
192.65.185.137,47.3667,8.5500
192.65.185.142,47.3667,8.5500
192.65.185.165,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:022f:0001,47.3667,8.5500
192.65.185.119,47.3667,8.5500
192.65.185.157,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:201c:0001,47.3667,8.5500
192.65.185.243,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:51e5:0001,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:6203:0001,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:87dd:0001,47.3667,8.5500
192.65.185.244,47.3667,8.5500
192.65.185.130,47.3667,8.5500
192.65.185.133,46.2022,6.1457
192.65.185.247,46.2022,6.1457
192.65.185.145,47.2594,8.3763
192.65.185.233,47.3667,8.5500
2001:07f8:001c:024a:0000:0000:0a7e:0001,47.3667,8.5500
192.65.185.143,46.2022,6.1457
